title,imdbid,year,id,rating
Passage de Venus,3155794,1874,9602,0
La Rosace Magique,14495706,1877,9804,0
Sallie Gardner at a Gallop,2221420,1878,9603,0
Le singe musicien,12592084,1878,9806,0
Athlete Swinging a Pick,7816420,1881,9816,0
Buffalo Running,5459794,1883,9831,0
L'homme machine,8588366,1885,9832,0
Man Walking Around the Corner,2075247,1887,9614,0
Cockatoo Flying,8133192,1887,9836,0
Child Carrying Flowers to Woman,7411790,1887,9837,0
Jumping Over a Man's Back-Leapfrog,7541160,1887,9838,0
Man Riding Jumping Horse,7754902,1887,9841,0
Baboon Climbing a Pole,8361552,1887,9902,0
Roundhay Garden Scene,0392728,1888,8040,0
Accordion Player,1758563,1888,9615,0
Traffic Crossing Leeds Bridge,0343112,1888,9616,0
Pferd und Reiter Springen uber ein Hindernis,3274100,1888,9675,0
Brighton Street Scene,2116853,1888,9947,0
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0466876,1889,9619,0
Hyde Park Corner,2116898,1889,9945,0
"Monkeyshines, No. 1",0361921,1890,9617,0
"Monkeyshines, No. 2",0416046,1890,9618,0
London's Trafalgar Square,1202028,1890,9621,0
"Monkeyshines, No. 3",0416047,1890,9678,0
Mosquinha,5285442,1890,9946,0
"Traffic in King's Road, Chelsea",2116968,1890,9944,0
Dickson Greeting,0241373,1891,9626,0
Men Boxing,0241715,1891,9628,0
Newark Athlete,0241763,1891,9629,0
"Duncan and Another, Blacksmith Shop",0241393,1891,9792,0
Duncan Smoking,0241392,1891,9793,0
Duncan or Devonald with Muslin Cloud,0241394,1891,9794,0
"Monkey and Another, Boxing",0241735,1891,9795,0
Je vous aime,3201916,1891,9800,0
La vague,3508566,1891,9802,0
Two Fencers,5447082,1891,9943,0
Pauvre Pierrot,0000003,1892,5433,0
Un bon bock,0000004,1892,9631,0
Le clown et ses chiens,0000002,1892,9632,0
Fencing,0241446,1892,9951,0
Le prince de Galles,0234520,1892,9952,0
Wrestling,0242148,1892,9948,0
Boxing,0241266,1892,9986,0
Blacksmith Scene,0000005,1893,9583,0
Annabelle Butterfly Dance,0229217,1894,9636,0
Edison Kinetoscope Records: Annie Oakley,8419312,1894,9642,0
Autour d'une cabine,0000015,1894,9646,0
"Barbershop, The",0229235,1894,9648,0
Bucking Broncho,0309396,1894,9649,0
Buffalo Dance,0309402,1894,9650,0
Carmencita,0000001,1894,9651,0
Edison Kinetoscopic Record of a Sneeze,0000008,1894,9652,0
Dickson Experimental Sound Film,0177707,1894,9654,0
Chinese Opium Den,0000006,1894,9655,0
Corbett and Courtney Before the Kinetograph,0000007,1894,9656,0
Falling Cat,2049440,1894,9662,0
"Glenroy Bros., No. 2",0312728,1894,9663,0
Glenroy Brothers,0256782,1894,9664,0
Leonard-Cushing Fight,0203646,1894,9668,0
"Luis Martinetti, Contortionist",0277115,1894,9671,0
Sandow No. 2,2161519,1894,9673,0
Sandow No. 3,2161521,1894,9674,0
Reve au coin du feu,0413219,1894,9681,0
Miss Jerry,0000009,1894,9779,0
Tables Turned on the Gardener,0000014,1895,5444,0
"Execution of Mary, Queen of Scots, The",0132134,1895,6200,0
Akrobatisches Potpourri,0000011,1895,9679,1
Annabelle Serpentine Dance,0154152,1895,9683,0
Italienischer Bauerntanz,0000017,1895,9714,0
Baby's Dinner,0000029,1895,9715,1
Billy Edwards and the Unknown,0477266,1895,9766,0
Blacksmith Scene,0000022,1895,9767,0
Barque sortant du port,0000016,1895,9787,0
"House of the Devil, The",0000091,1896,4982,0
Une nuit terrible,0000131,1896,5406,0
La fee aux choux,0223341,1896,5445,0
"Arrival of a Train, The",0000012,1896,6199,0
Sandow,1428455,1896,9672,0
Alger: rue Bab-Azoun,1672718,1896,9949,0
Lassage des boeufs pour le labour,1736599,1896,9950,0
Lancement d'un navire,0222137,1896,9901,0
Bataille de neige,0000041,1897,9328,0
Four Heads Are Better Than One,0135696,1898,4978,0
"Astronomer's Dream; or, The Man in the Moon, The",0000211,1898,5410,0
"Temptation of St. Anthony, The",0224240,1898,5411,0
A Turn of the Century Illusionist,0000246,1899,4994,0
Cinderella,0000230,1899,5914,3
Sherlock Holmes Baffled,0291476,1900,1594,0
"Enchanted Drawing, The",0000300,1900,4271,0
Grandma's Reading Glass,0000304,1900,4343,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272,1900,4344,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654,1900,4345,0
Hamlet ( Le Duel d'Hamlet),0000306,1900,4346,0
"One-Man Band, The",0135453,1900,4993,0
Grandma Threading Her Needle,0377995,1900,5069,0
"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746,1900,5072,0
Let Me Dream Again,0000313,1900,5438,0
"Doctor and the Monkey, The",0227438,1900,5446,0
L'homme a la tete en caoutchouc,0000359,1901,4995,0
Reve et realite,0258104,1901,5437,0
Bluebeard,0131934,1901,5500,0
Le voyage dans la lune,0000417,1902,1252,0
Gulliver's Travels,0229024,1902,5431,0
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0367177,1902,5432,0
Mephistopheles' School of Magic,0000413,1902,5443,0
"Great Train Robbery, The",0000439,1903,1319,0
"Infernal Boiling Pot, The",0135180,1903,5002,0
"Music Lover, The",0000455,1903,5063,0
"Monster, The",0223755,1903,5064,0
"Enchanted Well, The",0189498,1903,5683,0
"Cook in Trouble, The",0215664,1904,5224,0
"Living Playing Cards, The",0135179,1904,5404,0
"Untamable Whiskers, The",0135631,1904,5601,0
Le voyage a travers l'impossible,0000499,1904,6135,0
"Scheming Gambler's Paradise, The",0135690,1905,5003,0
"Black Imp, The",0215575,1905,5602,0
"Story of the Kelly Gang, The",0000574,1906,1349,1
"Mysterious Retort, The",0216016,1906,5024,0
Humorous Phases of Funny Faces,0000554,1906,5435,0
"Hilarious Posters, The",0135122,1906,5603,0
"400 Tricks of the Devil, The",0000567,1906,5684,0
A Funny Shave,0449172,1906,6206,0
"Consequence of Feminism, The",1260944,1906,7215,0
"Eclipse: Courtship of the Sun and Moon, The",0215737,1907,5223,0
Good Glue Sticks,0215817,1907,5615,0
Unusual Cooking,1802750,1908,6231,0
"Princess Nicotine; or, The Smoke Fairy",0001009,1909,4409,2
"Devilish Tenant, The",0127948,1909,5635,0
Le barometre de la fidelite,0277596,1909,6211,1
Tilly the Tomboy Visits the Poor,0232821,1910,1464,3
Mobilier fidele,0486978,1910,4983,0
A Trip to Mars,1515725,1910,5685,0
Cleopatra,0002101,1912,2003,2
"Invaders, The",0002281,1912,2005,0
Max and the Donkey,0277865,1912,5357,0
"Voyage of the Bourrichon Family, The",0003512,1913,5364,0
Suspense,0003424,1913,5915,0
A Florida Enchantment,0003973,1914,4457,2
"Birth of a Nation, The",0004972,1915,1258,2
Gretchen the Greenhorn,0006745,1916,2008,3
Lady Windermere's Fan,0279914,1916,2014,3
"Vagabond, The",0007507,1916,5368,0
Intolerance: Love's Struggle Throughout the Ages,0006864,1916,5944,0
Snow White,0007361,1916,7004,3
A Tale of Two Cities,0008652,1917,1981,3
Rebecca of Sunnybrook Farm,0008499,1917,1993,3
"Poor Little Rich Girl, The",0008443,1917,1994,3
A Romance of the Redwoods,0008519,1917,2015,0
"Raffles, the Amateur Cracksman",0008489,1917,2019,2
