,title,id,year,imdbid,rating,lgbtq_keywords_num,keywords_num
0,Passage de Venus,9602,1874,3155794,0,0,9
1,La Rosace Magique,9804,1877,14495706,0,0,1
2,Sallie Gardner at a Gallop,9603,1878,2221420,0,0,7
3,Le singe musicien,9806,1878,12592084,0,0,8
4,Athlete Swinging a Pick,9816,1881,7816420,0,0,8
5,Buffalo Running,9831,1883,5459794,0,0,20
6,L&#39;homme machine,9832,1885,8588366,0,0,0
7,Man Walking Around the Corner,9614,1887,2075247,0,0,5
8,Cockatoo Flying,9836,1887,8133192,0,0,8
9,Child Carrying Flowers to Woman,9837,1887,7411790,0,0,9
10,Jumping Over a Man&#39;s Back-Leapfrog,9838,1887,7541160,0,0,4
11,Man Riding Jumping Horse,9841,1887,7754902,0,0,5
12,Baboon Climbing a Pole,9902,1887,8361552,0,0,8
13,Roundhay Garden Scene,8040,1888,0392728,0,0,11
14,Accordion Player,9615,1888,1758563,0,0,5
15,Traffic Crossing Leeds Bridge,9616,1888,0343112,0,0,9
16,Pferd und Reiter Springen uber ein Hindernis,9675,1888,3274100,0,0,7
17,Brighton Street Scene,9947,1888,2116853,0,0,4
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,1889,0466876,0,0,7
19,Hyde Park Corner,9945,1889,2116898,0,0,2
20,"Monkeyshines, No. 1",9617,1890,0361921,0,0,5
21,"Monkeyshines, No. 2",9618,1890,0416046,0,0,3
22,London&#39;s Trafalgar Square,9621,1890,1202028,0,0,6
23,"Monkeyshines, No. 3",9678,1890,0416047,0,0,2
24,Mosquinha,9946,1890,5285442,0,0,3
25,"Traffic in King&#39;s Road, Chelsea",9944,1890,2116968,0,0,2
26,Dickson Greeting,9626,1891,0241373,0,0,1
27,Men Boxing,9628,1891,0241715,0,0,7
28,Newark Athlete,9629,1891,0241763,0,0,8
29,"Duncan and Another, Blacksmith Shop",9792,1891,0241393,0,0,1
30,Duncan Smoking,9793,1891,0241392,0,0,2
31,Duncan or Devonald with Muslin Cloud,9794,1891,0241394,0,0,1
32,"Monkey and Another, Boxing",9795,1891,0241735,0,0,6
33,Je vous aime,9800,1891,3201916,0,0,5
34,La vague,9802,1891,3508566,0,0,0
35,Two Fencers,9943,1891,5447082,0,0,3
36,Pauvre Pierrot,5433,1892,0000003,0,0,1
37,Un bon bock,9631,1892,0000004,0,0,4
38,Le clown et ses chiens,9632,1892,0000002,0,0,5
39,Fencing,9951,1892,0241446,0,0,9
40,Le prince de Galles,9952,1892,0234520,0,0,4
41,Wrestling,9948,1892,0242148,0,0,1
42,Boxing,9986,1892,0241266,0,0,1
43,Blacksmith Scene,9583,1893,0000005,0,0,4
44,Annabelle Butterfly Dance,9636,1894,0229217,0,0,17
45,Edison Kinetoscope Records: Annie Oakley,9642,1894,8419312,0,0,4
46,Autour d&#39;une cabine,9646,1894,0000015,0,0,4
47,"Barbershop, The",9648,1894,0229235,0,0,9
48,Bucking Broncho,9649,1894,0309396,0,0,13
49,Buffalo Dance,9650,1894,0309402,0,0,9
50,Carmencita,9651,1894,0000001,0,0,22
51,Edison Kinetoscopic Record of a Sneeze,9652,1894,0000008,0,0,8
52,Dickson Experimental Sound Film,9654,1894,0177707,0,2,16
53,Chinese Opium Den,9655,1894,0000006,0,0,4
54,Corbett and Courtney Before the Kinetograph,9656,1894,0000007,0,0,2
55,Falling Cat,9662,1894,2049440,0,0,3
56,"Glenroy Bros., No. 2",9663,1894,0312728,0,0,7
57,Glenroy Brothers,9664,1894,0256782,0,0,5
58,Leonard-Cushing Fight,9668,1894,0203646,0,0,8
59,"Luis Martinetti, Contortionist",9671,1894,0277115,0,0,5
